nombre;precio;met_pago;link;todo
Samsung Galaxy A16 128 GB;$369.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a16-128-gb/f;"Samsung Galaxy A16 128 GB

3 colores

$449.999
17% OFF
$369.999
Conexión Total
$332.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$275.206"
Samsung Galaxy A55 5G 128 GB;$1.029.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a55-5g/f;"Beneficios Exclusivos
Samsung Galaxy A55 5G 128 GB

2 colores

$1.029.999
Conexión Total
$927.000
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$766.115"
TCL 50 5G 128 GB;$199.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-50-5g-128-gb/f;"Incluye accesorios
TCL 50 5G 128 GB
$299.999
33% OFF
$199.999
Conexión Total
$179.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$148.760"
Motorola Edge 50 256 GB;$799.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-edge-50/f;"Motorola Edge 50 256 GB

2 colores

$1.019.999
21% OFF
$799.999
Conexión Total
$719.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$595.041"
Samsung Galaxy S24+ 256 GB;$2.439.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s24-plus-256-gb/f;"Samsung Galaxy S24+ 256 GB

2 colores

$2.439.999
Hasta 12 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.016.529"
Nubia Focus 5G 256 GB;$339.999;"6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta";/celulares/nubia/nubia-focus-5g-256-gb/f;"Incluye accesorios
Nubia Focus 5G 256 GB
$439.999
22% OFF
$339.999
Conexión Total
$305.999
*
6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta
*Precio sin impto.$252.892"
Motorola Moto G04s 64 GB;$264.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g-04-s/f;"Inlcuye accesorios
Motorola Moto G04s 64 GB

3 colores

$264.999
Conexión Total
$238.500
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$197.107"
Motorola Moto G24 128 GB;$269.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g24/f;"Incluye accesorios
Motorola Moto G24 128 GB

3 colores

$346.299
22% OFF
$269.999
Conexión Total
$242.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$200.826"
Samsung Galaxy A14 128 GB;$409.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a14-128-gb/f;"Samsung Galaxy A14 128 GB
$409.999
Conexión Total
$369.000
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$304.958"
Motorola Edge 50 Pro 512 GB;$1.149.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-edge-50-pro/f;"Incluye accesorios
Motorola Edge 50 Pro 512 GB
$1.359.199
15% OFF
$1.149.999
Conexión Total
$1.034.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$855.372"
